Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Pre Seed Round - Cariqa,https://www.crunchbase.com/funding_round/cariqa-pre-seed--a13e856f,"Electric Vehicle, Information Technology, Mapping Services, Navigation",,"Anthemis, Golden Egg Check Capital, HATCHER+, Plug and Play, Techstars, Vento",1000000,EUR,1093065,Pre-Seed,2024-03-11,,,,Cariqa,https://www.crunchbase.com/organization/cariqa,"Berlin, Berlin, Germany, Europe","Cariqa: The all-in-one EV solution for seamless management, Europe-wide charging, trip planning, and real-time vehicle data",https://www.cariqa.com,Seed,2,1000000,EUR,1093065,Yes,Seed,6
Seed Round - Ei Solutions,https://www.crunchbase.com/funding_round/ei-solutions-seed--607864bc,"Real Estate, Software",Trond Riiber Knudsen,"Bane Nor Eiendom, Isak Oksvold, PWS Eiendom, Spike Ventures, Styx Urban Investments, Thomas Falck, Trond Riiber Knudsen",1200000,EUR,1324395,Seed,2024-01-01,,,,Ei Solutions,https://www.crunchbase.com/organization/ei-solutions,"Oslo, Oslo, Norway, Europe",Ei Solutions revolutionize the management of sustainability risks for real estate companies.,https://www.eisolutions.no/,Seed,1,1200000,EUR,1324395,Yes,Seed,7
Pre Seed Round - Xaver,https://www.crunchbase.com/funding_round/xaver-pre-seed--9e9d2eb8,"Asset Management, Banking, FinTech, Insurance, InsurTech, Wealth Management","Cavalry Ventures, Motive Partners","22 Capital, blueworld.group, Cavalry Ventures, Elmar Broscheit, Felix Ohswald, Gleb Tritus, Interface Capital, Jessica Holzbach, Mario Götze, Martin Blessing, Matthias Setzer, Michael Wax, Motive Partners, Notion Capital, Patrick Andrae, Raffaele Terrone, Robin Capital, Sequoia Capital, The Delta, Tushar Ahluwalia",5690000,EUR,6180309,Pre-Seed,2024-03-19,,,,Xaver,https://www.crunchbase.com/organization/xaver,"Köln, Nordrhein-Westfalen, Germany, Europe",Xaver combines personalised digital funnels with AI-assisted personal customer interactions to forge a seamless omni-channel experience.,https://www.xaver.com/,Seed,1,5690000,EUR,6180309,Yes,Seed,20
Seed Round - Midas,https://www.crunchbase.com/funding_round/midas-eb5f-seed--d8557db4,"Cryptocurrency, Web3","BlockTower Capital, Framework Ventures, HV Capital","6th Man Ventures, Axelar Network, BlockTower Capital, Coinbase Ventures, FJ Labs, Framework Ventures, GSR, Hack VC, HV Capital, Lattice, Ledger Cathay Capital, Pareto Network, Peer Ventures, Phaedrus, Theia Blockchain",8750000,USD,8750000,Seed,2024-03-28,,,,Midas,https://www.crunchbase.com/organization/midas-eb5f,"Berlin, Berlin, Germany, Europe",Midas is a cryptocurrency application that allows users to sell and invest in cryptocurrency and tokens.,https://midas.app/,Seed,2,8750000,USD,8750000,Yes,Seed,15
Seed Round - SLAY,https://www.crunchbase.com/funding_round/slay-ad58-seed--a0c781b6,"Gaming, Social Media",Accel,"Accel, Ilkka Paananen, Illusian Founder Office, Johannes Heinze, Lior Shiff, Riccardo Zacconi, Scooter Braun, Scribble Ventures",5000000,USD,5000000,Seed,2024-02-25,,,,SLAY,https://www.crunchbase.com/organization/slay-ad58,"Berlin, Berlin, Germany, Europe",SLAY is building virtual AI friends.,https://www.slay.cool,Seed,2,7600000,USD,7600000,Yes,Seed,8
Seed Round - Privasea,https://www.crunchbase.com/funding_round/privasea-seed--d6dfe5f4,"Database, Software",Binance Labs,"1NVST, Binance Labs, Coinvestor Ventures, Gate.io, K300 Ventures, MH Ventures, OKX Ventures, Zephyrus Capital",5000000,USD,5000000,Seed,2024-03-04,,,,Privasea,https://www.crunchbase.com/organization/privasea,"Gothenburg, Vastra Gotaland, Sweden, Europe",Privasea is a company that provides global clients with tailored computing and data sharing solutions.,https://www.privasea.ai,Seed,1,5000000,USD,5000000,Yes,Seed,8
Seed Round - Graswald,https://www.crunchbase.com/funding_round/graswald-seed--d9aa1587,"3D Technology, Digital Entertainment, Media and Entertainment, Music","Lakestar, Supernode Global","Angel Invest, Arnav Bimbhet, Christopher North, FOV Ventures, HTGF | High-Tech Gruenderfonds, Jens Lapinski, Lakestar, Martin Ostermayer, Notion Scout Fund, Patrick Andrae, Philipp Kloeckner, Robin Capital, Supernode Global",3300000,USD,3300000,Seed,2024-03-20,,,,Graswald,https://www.crunchbase.com/organization/graswald,"Hanover, Niedersachsen, Germany, Europe",Graswald engages in the creation of natural and digital 3D worlds for the entertainment industry.,https://www.graswald3d.com/,Seed,3,4616144,USD,4616144,Yes,Seed,13
Pre Seed Round - Vickii,https://www.crunchbase.com/funding_round/vickii-pre-seed--b8ed91d1,"Apps, Finance, FinTech, News, Software",,"Alexander Klatt, Carsten Lütke-Bornefeld, Dr. Marcus Englert, HUBBLR Ventures, Michael Berendes, Michal Jarocki, OMR, Ralph zur Brügge",1200000,EUR,1286958,Pre-Seed,2023-09-05,,,,Vickii,https://www.crunchbase.com/organization/vickii,"Münster, Nordrhein-Westfalen, Germany, Europe",Vickii is the platform that enables self-directed investing by providing access to relevant information.,https://www.vickii.de,Seed,1,1200000,EUR,1286958,Yes,Seed,8
Seed Round - Assemblio,https://www.crunchbase.com/funding_round/assemblio-seed--26d7e38c,"Artificial Intelligence (AI), Industrial, Manufacturing, SaaS",LEA Partners,"Cross Atlantic Angels, Gerhard Berger, Gerhard Knoch, Gunter Deppner, Helmut Imhof, Integra Fund, Jens Horstmann, LEA Partners, Michael Kofluk, Mätch VC, SilverScale Capital",2100000,EUR,2276065,Seed,2024-02-28,,,,Assemblio,https://www.crunchbase.com/organization/assemblio,"Stuttgart, Baden-Wurttemberg, Germany, Europe",Assemblio offers an AI-based software solution for time- and cost-efficient assembly planning,https://www.assemblio.com/,Seed,1,2100000,EUR,2276065,Yes,Seed,11
Pre Seed Round - WAY.so,https://www.crunchbase.com/funding_round/way-so-pre-seed--13bef0c0,"Hardware, Software",Pitchdrive,"allygatr, Christian Klötzer, Christoph Hardt, Daniel Hanemann, David Padilla, Denis Bauer, Flossbach von Storch, Helge Plehn, HUBBLR Ventures, IBB Ventures, Jacek Strongowski, Jan Schachtele, Joel Kaczmarek, Pascal Stichler, Pitchdrive, Randolf Schürmann",1200000,EUR,1304925,Pre-Seed,2024-02-01,,,,WAY.so,https://www.crunchbase.com/organization/way-so,"Berlin, Berlin, Germany, Europe","Saas, IT, Cybersecurity, HR, Compliance, Hardware",https://way.so,Seed,1,1200000,EUR,1304925,Yes,Seed,16
